"FIPS","Yearn","rate"
51083,2021,190.9
51085,2021,150.4
51087,2021,149.2
51089,2021,162.6
51091,2021,159.1
51093,2021,165.2
51095,2021,132.6
51097,2021,192.7
51099,2021,142.8
51101,2021,156.0
51103,2021,184.9
51105,2021,197.3
51107,2021,115.4
51109,2021,160.7
51111,2021,173.8
51113,2021,167.1
51115,2021,165.5
51117,2021,172.7
51119,2021,147.1
51121,2021,135.4
51125,2021,160.5
51127,2021,171.7
51131,2021,173.7
51133,2021,140.9
51135,2021,202.5
51137,2021,170.9
51139,2021,177.7
51141,2021,171.1
51143,2021,160.0
51145,2021,128.1
51147,2021,188.8
51149,2021,155.7
51153,2021,129.5
51155,2021,143.9
51157,2021,131.1
51159,2021,184.4
51161,2021,137.5
51163,2021,142.4
51165,2021,141.1
51167,2021,196.6
51169,2021,184.2
51171,2021,175.4
51173,2021,204.0
51175,2021,145.3
51177,2021,148.6
51179,2021,141.9
51181,2021,157.6
51183,2021,210.8
51185,2021,195.4
51187,2021,178.2
51191,2021,165.1
51193,2021,161.3
51195,2021,213.0
51197,2021,174.1
51199,2021,121.1
51510,2021,116.2
51520,2021,163.4
51530,2021,175.5
51540,2021,139.9
51550,2021,166.0
51570,2021,199.8
51580,2021,227.2
51590,2021,190.1
51595,2021,159.7
51600,2021,229.6
51610,2021,151.2
51620,2021,214.6
51630,2021,154.1
51640,2021,342.2
51650,2021,176.8
51660,2021,143.3
51670,2021,231.4
51678,2021,201.9
51680,2021,188.2
51683,2021,151.5
51685,2021,79.9
51690,2021,239.0
51700,2021,175.2
51710,2021,184.8
51720,2021,213.4
51730,2021,241.7
51735,2021,163.8
51740,2021,192.2
51750,2021,187.0
51760,2021,153.5
51770,2021,183.9
51775,2021,201.8
51790,2021,178.6
51800,2021,174.3
51810,2021,146.3
51820,2021,205.4
51830,2021,146.1
51840,2021,165.0
51917,2021,155.6
51001,2022,157.0
51003,2022,107.4
51005,2022,144.7
51007,2022,152.2
51009,2022,146.2
51011,2022,128.7
51013,2022,100.1
51015,2022,126.4
51017,2022,133.6
51021,2022,108.5
51023,2022,129.3
51025,2022,159.4
51027,2022,167.3
51029,2022,137.5
51031,2022,143.9
51033,2022,143.7
51035,2022,134.8
51036,2022,137.2
51037,2022,156.8
51041,2022,140.3
51043,2022,120.0
51045,2022,127.0
51047,2022,142.1
51049,2022,149.1
51051,2022,167.4
51053,2022,153.9
51057,2022,141.5
51059,2022,100.6
51061,2022,134.6
51063,2022,131.7
51065,2022,122.1
51067,2022,136.8
51069,2022,152.1
51071,2022,163.8
51073,2022,165.5
51075,2022,114.9
51077,2022,155.7
51079,2022,107.1
51081,2022,181.3
51083,2022,175.0
51085,2022,142.6
51087,2022,141.2
51089,2022,158.0
51091,2022,111.6
51093,2022,147.6
51095,2022,118.5
51097,2022,155.7
51099,2022,126.5
51101,2022,136.3
51103,2022,161.6
51105,2022,171.9
51107,2022,108.3
51109,2022,142.1
51111,2022,132.4
51113,2022,137.0
